Date,Open,High,Low,Close,Adj Close,Volume
2016-04-19,1.428776,1.441961,1.428571,1.428980,1.428980,0
2016-04-20,1.438807,1.441005,1.435338,1.438952,1.438952,0
2016-04-21,1.433795,1.443835,1.430615,1.433897,1.433897,0
2016-04-22,1.432665,1.445087,1.432398,1.432295,1.432295,0
2016-04-25,1.444878,1.451800,1.440590,1.444669,1.444669,0
2016-04-26,1.448856,1.463807,1.448771,1.449065,1.449065,0
2016-04-27,1.457726,1.461988,1.453277,1.457726,1.457726,0
2016-04-28,1.454123,1.461775,1.452770,1.454207,1.454207,0
2016-04-29,1.461347,1.466706,1.457939,1.461134,1.461134,0
2016-05-02,1.460494,1.469940,1.460494,1.460280,1.460280,0
2016-05-03,1.466706,1.476887,1.453488,1.466598,1.466598,0
2016-05-04,1.454545,1.457301,1.446341,1.455096,1.455096,0
2016-05-05,1.450747,1.453066,1.444669,1.450705,1.450705,0
2016-05-06,1.449065,1.454757,1.442793,1.449275,1.449275,0
2016-05-09,1.442793,1.447681,1.437690,1.443085,1.443085,0
2016-05-10,1.441608,1.447387,1.439056,1.441545,1.441545,0
2016-05-11,1.445296,1.448646,1.439698,1.445149,1.445149,0
2016-05-12,1.443626,1.453066,1.440922,1.443835,1.443835,0
2016-05-13,1.444607,1.445003,1.434288,1.444523,1.444523,0
2016-05-16,1.435338,1.441545,1.433610,1.434926,1.434926,0
2016-05-17,1.444815,1.452391,1.443918,1.444690,1.444690,0
2016-05-18,1.445714,1.462630,1.440590,1.445525,1.445525,0
2016-05-19,1.459598,1.466082,1.456537,1.459620,1.459620,0
2016-05-20,1.459961,1.461305,1.451021,1.460110,1.460110,0
2016-05-23,1.449191,1.454842,1.444586,1.449065,1.449065,0
2016-05-24,1.448079,1.463722,1.448016,1.448184,1.448184,0
2016-05-25,1.461604,1.473079,1.460664,1.461262,1.461262,0
2016-05-26,1.469745,1.473861,1.467158,1.469832,1.469832,0
2016-05-27,1.466641,1.468839,1.461390,1.466491,1.466491,0
2016-05-30,1.462459,1.463893,1.459066,1.462651,1.462651,0
2016-05-31,1.463486,1.472581,1.452982,1.463507,1.463507,0
2016-06-01,1.448499,1.450915,1.439346,1.448247,1.448247,0
2016-06-02,1.442107,1.447220,1.441441,1.441940,1.441940,0
2016-06-03,1.440798,1.458321,1.440154,1.440549,1.440549,0
2016-06-06,1.439222,1.447408,1.435894,1.438394,1.438394,0
2016-06-07,1.446090,1.460878,1.445525,1.445922,1.445922,0
2016-06-08,1.454355,1.460153,1.450894,1.454355,1.454355,0
2016-06-09,1.451505,1.452834,1.445066,1.451842,1.451842,0
2016-06-10,1.446383,1.447492,1.431844,1.446383,1.446383,0
2016-06-13,1.419064,1.430513,1.411971,1.418882,1.418882,0
2016-06-14,1.420616,1.421949,1.409562,1.420676,1.420676,0
2016-06-15,1.412090,1.421565,1.410935,1.412370,1.412370,0
2016-06-16,1.419527,1.420091,1.401502,1.419587,1.419587,0
2016-06-17,1.429552,1.431926,1.422576,1.429572,1.429572,0
2016-06-20,1.458704,1.470718,1.453467,1.458598,1.458598,0
2016-06-21,1.467438,1.478087,1.464601,1.467502,1.467502,0
2016-06-22,1.466663,1.477018,1.464708,1.467029,1.467029,0
2016-06-23,1.479202,1.494701,1.473297,1.478940,1.478940,0
2016-06-24,1.456007,1.462908,1.323925,1.455795,1.455795,0
2016-06-27,1.344466,1.347564,1.313146,1.345098,1.345098,0
2016-06-28,1.322716,1.341958,1.322192,1.323504,1.323504,0
2016-06-29,1.335577,1.352924,1.329186,1.335096,1.335096,0
2016-06-30,1.345605,1.349491,1.324258,1.346584,1.346584,0
2016-07-01,1.333369,1.335203,1.324784,1.332871,1.332871,0
2016-07-04,1.328533,1.333031,1.324538,1.328992,1.328992,0
2016-07-05,1.328198,1.328233,1.302185,1.327986,1.327986,0
2016-07-06,1.296378,1.301355,1.282808,1.295790,1.295790,0
2016-07-07,1.292056,1.304768,1.290906,1.292591,1.292591,0
2016-07-08,1.291189,1.301202,1.290989,1.291573,1.291573,0
2016-07-11,1.294465,1.301439,1.285380,1.294616,1.294616,0
2016-07-12,1.298516,1.324609,1.297926,1.298111,1.298111,0
2016-07-13,1.327070,1.333618,1.317749,1.327827,1.327827,0
2016-07-14,1.312112,1.340087,1.310925,1.311974,1.311974,0
2016-07-15,1.335773,1.348127,1.320115,1.335791,1.335791,0
2016-07-18,1.323907,1.331026,1.321685,1.322961,1.322961,0
2016-07-19,1.326594,1.327158,1.311493,1.326893,1.326893,0
2016-07-20,1.310753,1.319749,1.306797,1.310839,1.310839,0
2016-07-21,1.324679,1.326788,1.316725,1.326453,1.326453,0
2016-07-22,1.323820,1.329080,1.308198,1.324609,1.324609,0
2016-07-25,1.312439,1.316240,1.309878,1.312973,1.312973,0
2016-07-26,1.310685,1.317193,1.306592,1.310788,1.310788,0
2016-07-27,1.315097,1.316257,1.307993,1.315288,1.315288,0
2016-07-28,1.324135,1.325047,1.312302,1.323784,1.323784,0
2016-07-29,1.316517,1.330176,1.315565,1.316188,1.316188,0
2016-08-01,1.321929,1.327316,1.316586,1.321633,1.321633,0
2016-08-02,1.318652,1.333102,1.317454,1.318548,1.318548,0
2016-08-03,1.333831,1.337310,1.328727,1.333778,1.333778,0
2016-08-04,1.332942,1.334508,1.311768,1.332800,1.332800,0
2016-08-05,1.312853,1.317697,1.302406,1.312922,1.312922,0
2016-08-08,1.307651,1.309792,1.303475,1.308575,1.308575,0
2016-08-09,1.303424,1.303424,1.295941,1.303237,1.303237,0
2016-08-10,1.301406,1.309466,1.299444,1.300712,1.300712,0
2016-08-11,1.302253,1.302898,1.294063,1.302016,1.302016,0
2016-08-12,1.295572,1.303611,1.292725,1.295488,1.295488,0
2016-08-15,1.290989,1.294666,1.286836,1.290989,1.290989,0
2016-08-16,1.287996,1.302932,1.287996,1.288311,1.288311,0
2016-08-17,1.303237,1.306506,1.299883,1.303373,1.303373,0
2016-08-18,1.304461,1.317263,1.304291,1.304461,1.304461,0
2016-08-19,1.316309,1.316309,1.302423,1.316656,1.316656,0
2016-08-22,1.306848,1.315616,1.303611,1.305602,1.305602,0
2016-08-23,1.313198,1.321178,1.313198,1.313715,1.313715,0
2016-08-24,1.319940,1.327492,1.316309,1.319609,1.319609,0
2016-08-25,1.323977,1.326436,1.317263,1.323452,1.323452,0
2016-08-26,1.319261,1.326964,1.314924,1.319435,1.319435,0
2016-08-29,1.312680,1.313543,1.306165,1.312853,1.312853,0
2016-08-30,1.310960,1.311992,1.306336,1.310788,1.310788,0
2016-08-31,1.309415,1.315789,1.306848,1.309072,1.309072,0
2016-09-01,1.313370,1.331558,1.313025,1.313370,1.313370,0
2016-09-02,1.327669,1.335113,1.325381,1.327492,1.327492,0
2016-09-05,1.329434,1.337614,1.329434,1.329434,1.329434,0
2016-09-06,1.331203,1.344267,1.330318,1.331381,1.331381,0
2016-09-07,1.341562,1.342642,1.333707,1.342102,1.342102,0
2016-09-08,1.334045,1.337614,1.328904,1.333867,1.333867,0
2016-09-09,1.330849,1.333511,1.324679,1.331026,1.331026,0
2016-09-12,1.327140,1.332445,1.324416,1.327316,1.327316,0
2016-09-13,1.333867,1.334223,1.317349,1.333867,1.333867,0
2016-09-14,1.319435,1.322926,1.314060,1.319435,1.319435,0
2016-09-15,1.326436,1.326999,1.318392,1.326436,1.326436,0
2016-09-16,1.324731,1.325030,1.307531,1.324767,1.324767,0
2016-09-19,1.301439,1.309192,1.301389,1.301626,1.301626,0
2016-09-20,1.303951,1.306506,1.295102,1.304461,1.304461,0
2016-09-21,1.298533,1.300728,1.295001,1.298533,1.298533,0
2016-09-22,1.303781,1.311992,1.303271,1.303611,1.303611,0
2016-09-23,1.308404,1.309072,1.291656,1.308729,1.308729,0
2016-09-26,1.297858,1.299039,1.291823,1.297858,1.297858,0
2016-09-27,1.296950,1.300898,1.294515,1.296950,1.296950,0
2016-09-28,1.301067,1.303271,1.298196,1.301236,1.301236,0
2016-09-29,1.303951,1.305483,1.296849,1.303951,1.303951,0
2016-09-30,1.296849,1.302253,1.294230,1.296344,1.296344,0
2016-10-03,1.293159,1.294834,1.281887,1.293159,1.293159,0
2016-10-04,1.285182,1.286008,1.272734,1.284852,1.284852,0
2016-10-05,1.272912,1.277139,1.268713,1.273237,1.273237,0
2016-10-06,1.275510,1.275673,1.263105,1.275510,1.275510,0
2016-10-07,1.239895,1.248284,1.223242,1.240233,1.240233,0
2016-10-10,1.243472,1.244555,1.235941,1.243472,1.243472,0
2016-10-11,1.234720,1.235025,1.220405,1.234111,1.234111,0
2016-10-12,1.227446,1.232742,1.216989,1.227898,1.227898,0
2016-10-13,1.219066,1.223137,1.213740,1.218769,1.218769,0
2016-10-14,1.222643,1.226392,1.217137,1.222195,1.222195,0
2016-10-17,1.217730,1.219959,1.214034,1.218324,1.218324,0
2016-10-18,1.222195,1.232438,1.222150,1.221896,1.221896,0
2016-10-19,1.230315,1.232894,1.225791,1.230466,1.230466,0
2016-10-20,1.229256,1.230012,1.221449,1.228954,1.228954,0
2016-10-21,1.225791,1.226091,1.217434,1.225640,1.225640,0
2016-10-24,1.222016,1.225040,1.218918,1.221911,1.221911,0
2016-10-25,1.222494,1.224140,1.208868,1.221747,1.221747,0
2016-10-26,1.217760,1.224290,1.215998,1.217582,1.217582,0
2016-10-27,1.223541,1.227295,1.216101,1.223541,1.223541,0
2016-10-28,1.216841,1.219066,1.211681,1.217137,1.217137,0
2016-10-31,1.220599,1.221150,1.215067,1.221598,1.221598,0
2016-11-01,1.223541,1.227898,1.221150,1.223691,1.223691,0
2016-11-02,1.223870,1.235330,1.222404,1.223855,1.223855,0
2016-11-03,1.230618,1.249375,1.230164,1.230466,1.230466,0
2016-11-04,1.246572,1.255650,1.245175,1.246883,1.246883,0
2016-11-07,1.248907,1.249844,1.238237,1.248907,1.248907,0
2016-11-08,1.240079,1.244091,1.236384,1.239926,1.239926,0
2016-11-09,1.238697,1.254863,1.235849,1.238850,1.238850,0
2016-11-10,1.242082,1.249844,1.237930,1.242082,1.242082,0
2016-11-11,1.255178,1.267267,1.252662,1.255335,1.255335,0
2016-11-14,1.257703,1.262786,1.244865,1.257387,1.257387,0
2016-11-15,1.251878,1.252976,1.238421,1.252035,1.252035,0
2016-11-16,1.245175,1.250313,1.241465,1.245640,1.245640,0
2016-11-17,1.243936,1.250313,1.241465,1.244245,1.244245,0
2016-11-18,1.241157,1.243472,1.230466,1.241003,1.241003,0
2016-11-21,1.232286,1.250938,1.231375,1.232438,1.232438,0
